env	row	col	rep	inc.block	yield	gen	Row	Col
E3	18	1	R3	B4	139.754	G51	18	1
E3	18	2	R3	B4	147.665	G26	18	2
E3	18	3	R3	B4	127.322	G13	18	3
E3	18	4	R3	B4	132.635	G38	18	4
E3	18	5	R3	B4	117.638	G04	18	5
E3	18	6	R3	B4		G01	18	6
E3	18	7	R3	B4		G01	18	7
E3	18	8	R3	B4		G01	18	8
E3	18	9	R3	B4		G01	18	9
E3	18	10	R3	B4		G01	18	10
E3	18	11	R3	B4		G01	18	11
